DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/13/22	7	T460	1	SAL	368	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	17	32	7	SAL
3/13/22	7	T465	2	YO	544	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	10	19	7	MORPH
3/13/22	7	T467	3	SAL	521	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	15	23	11	SAL
3/13/22	7	T469	4	OG	455	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	29	345	0	MORPH
3/13/22	7	T484	5	RY	449	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	14	27	5	MORPH
3/13/22	7	T486	6	SAL	412	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	13	21	4	SAL
3/13/22	7	T491	7	OG	456	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	18	26	4	MORPH
3/13/22	7	T498	8	G	371	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	57	90	5	MORPH
3/13/22	7	G486	9	SAL	507	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	5	5	1	SAL
3/13/22	7	G489	10	SAL	451	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	6	9	2	SAL
3/13/22	7	G637	11	YO	511	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	5	8	15	MORPH
3/13/22	7	G641	12	RP	556	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	26	124	15	MORPH
3/13/22	7	G648	13	SAL	485	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	42	59	12	SAL
3/13/22	7	G649	14	OR	666	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	38	150	10	MORPH
3/13/22	7	G651	15	SAL	417	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	11	15	4	SAL
3/13/22	7	G676	16	SAL	328	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	49	71	3	SAL
