"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.54023,-0.45658,-0.4139,-0.3593,-1.0974,-1.116,-0.8241,-0.9115,-0.22764,-0.34049,0.1169,0.56905,-0.81497,-0.68984,-0.52944,0,0
-0.052708,0.074612,0.26586,0.49634,0.086139,0.23548,0.40311,0.51295,0.22287,0.38076,0.12185,0.43928,-0.044065,0.066409,0.40821,0,0
0.079787,-0.055688,0.53787,0.89903,0.46121,0.34426,0.42157,0.78808,0.55834,0.8331,-0.032737,-0.38274,0.25887,0.30811,0.26811,0,0
0.097078,0.28948,0.1603,0.25929,0.42066,0.37066,-0.12364,-0.019835,-0.0095337,0.35449,0.17701,0.28666,-0.0067056,0.11615,0.033254,0,0
-0.018554,-0.14564,-0.05298,0.23053,0.23469,0.19972,-0.073022,0.030331,-0.020212,0.15871,0.048474,0.28801,-0.045096,0.050007,-0.071413,0,1
-0.0070792,-0.15016,0.058557,0.37165,-0.27311,0.089187,0.054726,0.28312,0.064938,0.2005,-0.12861,0.21277,-0.12657,0.13607,-0.28156,0,1
0.17992,0.13397,-0.21845,-0.11718,0.29253,0.023068,-0.15282,-0.014706,-0.24543,-0.20481,0.17566,0.12053,0.21152,0.21355,0.2415,1,0
-0.098128,-0.16314,-0.35955,-0.38076,-0.15312,-0.037567,-0.042155,-0.0351,-0.50746,-0.17147,-0.081431,0.2965,-0.13167,0.10685,-0.025394,0,0
0.22322,-0.040829,0.071114,0.21508,-0.11825,-0.16992,0.030756,0.014587,0.27679,0.34619,0.037208,-0.24291,-0.052156,-0.014875,0.028943,0,0
-0.11835,-0.17199,-0.0052021,-0.31197,-0.38751,-0.27317,0.31581,0.29394,-0.26392,-0.049494,0.1749,0.10633,0.054085,-0.07384,-0.1655,0,0
0.2053,0.32267,0.18569,0.069907,0.39469,0.30571,-0.56422,-0.94327,0.11369,0.077546,0.28692,-0.068358,0.079373,0.14048,0.30448,0,0
-0.043658,0.11974,0.31269,0.21829,0.84217,0.59463,0.095944,0.021375,0.28641,0.047924,-0.035724,-0.088981,0.13615,0.21946,0.63917,0,0
0.23736,0.42746,-0.031425,-0.11078,-0.36007,-0.01448,0.12857,0.083091,-0.043424,-0.20884,0.15606,-0.15284,0.30209,0.017186,0.25041,0,0
0.068194,0.0077867,-0.034138,-0.32131,-0.58228,-0.50248,0.92399,0.70321,-0.20454,-0.17035,-0.086579,-0.29601,0.55277,0.25723,-0.16505,0,0
-0.14808,0.026415,0.021108,0.047295,0.10934,0.12015,-0.081567,-0.080115,0.2065,0.04581,-0.19271,-0.32002,0.28621,0.09894,0.27229,0,0
-0.071483,-0.066796,-0.025341,-0.36538,0.45204,0.27653,-0.30867,-0.25272,-0.081218,-0.55918,-0.18473,-0.18244,-0.28047,-0.23924,-0.062054,0,0
0.19774,0.21311,-0.21393,-0.24739,0.42963,0.35166,-0.40711,-0.6993,0.12208,-0.31113,0.095392,-0.64302,0.016077,-0.036668,0.26366,0,0
-0.30134,-0.44897,0.054459,-0.17727,0.27875,0.41536,0.3239,0.3276,0.093784,0.026583,-0.43849,-0.091655,0.61074,0.53211,0.7558,0,0
0.38381,0.41364,0.2229,0.021433,0.81451,0.37865,0.060984,-0.18481,0.087226,0.028787,0.64061,-0.23512,-0.097537,0.20479,0.05214,0,0
-0.043047,-0.11824,-0.19739,-0.1256,0.29729,0.32772,-0.23506,-0.090784,0.02826,-0.15853,-0.18936,-0.22316,-0.10854,-0.088837,-0.22887,0,0
0.26238,0.33471,0.067126,0.024883,0.064692,0.033922,0.25509,0.49082,0.17668,0.36058,0.14161,-0.15238,0.58104,0.4568,0.79043,0,0
