"R Caud","L Caud","R Put","L Put","R NAcc","L NAcc","R Amyg","L Amyg","R Ins","L Ins","ACC","PCC","R OFC","L OFC","vmPFC","Outcome","Antic"
-0.37398,-0.056145,0.063701,-0.2143,-0.27139,0.056984,-0.72875,-0.5479,0.0059539,-0.19621,-0.30242,-0.26817,-0.43561,-0.4405,0.5789,0,0
-0.028603,0.14223,-0.24922,-0.14432,0.19517,-0.21919,0.05673,0.29547,-0.24702,-0.084176,-0.25825,-0.013846,-0.059406,-0.07266,0.41037,0,0
0.0012633,-0.0030519,-0.013093,0.0094598,0.2821,0.055936,-0.35533,0.061975,0.10715,-0.093254,-0.036861,-0.03677,0.21676,0.16394,0.34664,0,0
-0.097589,0.081972,-0.26406,0.0092803,-0.55351,-0.063328,-0.33456,-0.13838,0.12346,0.21511,0.20818,0.027437,-0.11257,-0.17746,-0.19984,0,0
-0.12337,0.17914,0.083387,0.17352,-0.024313,0.51296,0.18373,0.37516,0.48814,0.35006,0.16277,0.12141,0.51402,0.37036,0.78594,0,1
-0.20467,-0.055482,0.12533,0.13878,-0.019822,0.25921,0.13766,0.58163,0.41569,0.36431,0.18174,0.24238,0.42846,0.33699,0.64013,0,1
-0.39356,-0.34426,-0.0086455,-0.11205,-0.42468,-0.084157,-0.056339,0.043565,-0.15158,-0.10576,0.047035,0.34565,-0.16366,-0.097895,-0.53578,1,0
-0.04299,-0.24379,0.14749,-0.16639,-0.13326,-0.056223,-0.096182,-0.001435,0.066323,-0.12363,0.17169,0.15626,0.19484,0.061479,0.29264,0,0
0.038765,0.14594,-0.18759,-0.011223,0.032856,-0.24908,-0.018714,-0.48576,-0.31453,-0.16631,-0.29671,-0.39213,-0.31968,-0.19649,-0.25523,0,0
0.20691,-0.15207,0.11263,-0.036874,0.10555,-0.11333,0.11653,-0.10683,-0.21983,-0.017422,-0.27461,-0.10402,-0.0040829,-0.036954,-0.27216,0,0
-0.014556,-0.17719,-0.19094,0.039596,-0.22241,-0.50652,0.21529,-0.055504,-0.17189,-0.033499,-0.19996,0.089321,-0.33724,-0.28031,-0.9672,0,0
