ID,text_lying,text_lying_power,text_experience_description,text_emotional_response,text_negative_outcomes,text_positive_outcomes,text_lying_goal,text_difference_from_honesty,rating_impact_severity
1809,"Lying, to me, is an intricate web of deception that weaves its way through the fabric of trust and honesty.",NA,NA,NA,NA,NA,NA,NA,NA
1810,"It is an intentional act of distorting the truth, a conscious decision to manipulate and mislead others.",NA,NA,NA,NA,NA,NA,NA,NA
1811,"Lying corrodes the very essence of authenticity, eroding the foundation upon which meaningful relationships are built.",NA,NA,NA,NA,NA,NA,NA,NA
1812,"It is a breach of trust, a fracture in the bond that connects us as human beings.","Being lied to can leave you feeling powerless, as the truth is withheld and control over your own narrative is taken away.","The world becomes a foggy maze of confusion, as I struggle to navigate through the web of falsehoods.","It's as if a part of me has been shattered, and I struggle to comprehend how someone I cared for could lie so easily.",It can cause a breakdown in communication and understanding.,Being lied to has taught me to be more discerning in choosing who to trust.,They may aim to control a situation or manipulate the outcome in their favor by lying.,"Being honest builds trust and strengthens relationships, while lying erodes trust and damages connections.",6
1813,"Lies are like poison, slowly seeping into the core of a relationship, poisoning the trust that once thrived.",NA,It's a constant battle between wanting to confront the lies and fearing the potential repercussions of exposing the truth.,"The weight of the lies presses down on me, making it hard to breathe.",Being lied to can result in feelings of resentment and anger towards the liar.,It has made me realize the significance of open and honest communication in relationships.,"By lying, they seek to avoid accountability and shift blame onto others.","Lying creates a web of deceit, while being honest fosters authenticity and genuine interactions.",1
1814,"They create a chasm of doubt and suspicion, casting a shadow over every interaction.",NA,"I question my own judgment, wondering how I could have been so easily fooled by someone I thought I knew.",NA,NA,NA,NA,NA,NA
1815,"Lying is an abuse of power, a means to control and manipulate others for personal gain.",NA,"The lies play on repeat in my mind, haunting me and making it difficult to find peace.","I am flooded with a sense of sadness, mourning the loss of the truth and the trust that was broken.","Lies can create a cycle of deception and distrust, making it difficult to rebuild a healthy connection.",Being lied to has taught me the importance of setting clear boundaries and expectations.,They may lie to avoid hurting someone's feelings or causing them distress.,"Being honest promotes open communication, while lying hinders genuine understanding and resolution.",2
1816,It is a cowardly escape from taking responsibility for one's actions or facing the consequences of the truth.,NA,"I feel a deep sense of vulnerability, as the lies strip away my sense of security and leave me exposed.","It feels like a heavy fog has enveloped my mind, clouding my ability to think clearly.",It can lead to a loss of intimacy and emotional closeness.,It has made me more cautious about giving my trust too easily.,Lying enables them to manipulate emotions and elicit a specific response from others.,"Lying can lead to guilt and internal conflict, while being honest brings peace of mind and personal integrity.",4
1817,"Lies breed further lies, like a contagious disease spreading through the fibers of communication.","It creates a sense of vulnerability, as the lies weave a web around you, trapping you in a distorted reality.","It's like standing on shaky ground, uncertain of what is real and what is fabricated.","The lies play on repeat in my head, tormenting me with their deceitful whispers.",Being lied to can make one question their own judgment and ability to discern truth from falsehood.,I have learned to listen to my gut feelings and pay attention to red flags.,The individual may lie to gain power or control over others by feeding them false information.,"Being honest fosters a culture of trust and respect, while lying creates a culture of suspicion and dishonesty.",5
1818,"They build walls between people, hindering genuine connection and understanding.","You feel like a puppet on strings, manipulated and deceived by the lies of others.","I am left with a lingering sense of emptiness, as the lies dismantle the connection I once had with the person who deceived me.","I am left feeling vulnerable and exposed, as if my innocence has been stolen from me.",It can damage one's self-esteem and self-worth.,Being lied to has taught me the value of forgiveness and letting go of resentment.,"By lying, they can avoid conflict or confrontation with others.","Lying often requires remembering complex narratives, while being honest requires only speaking the truth.",6
1821,"Lying is an insult to one's intelligence, assuming that the truth is too much to bear or that honesty is expendable.",NA,NA,NA,NA,NA,NA,NA,NA
1822,It is a betrayal of the shared values and principles that underpin relationships.,NA,NA,NA,NA,NA,NA,NA,NA
1823,"Lies distort reality, creating a fictional narrative that blurs the lines between fact and fiction.",NA,NA,NA,NA,NA,NA,NA,NA
